player_id,player_name,format,matches,innings,runs,balls_faced,highest_score,average,strike_rate,not_out,fours,sixes,fifty_plus,hundreds,double_hundreds
7703,Bjorn Kotze,ODI,5,4,27,51,24,9,52.95,1,3,0,0,0,0
7703,Bjorn Kotze,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
7703,Bjorn Kotze,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
7699,Deon Kotze,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
7699,Deon Kotze,ODI,6,6,82,135,27,16.4,60.75,1,3,1,0,0,0
7699,Deon Kotze,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
7699,Deon Kotze,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
7702,Lennie Louw,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
7702,Lennie Louw,ODI,1,0,0,0,0,0,0,0,0,0,0,0,0
7702,Lennie Louw,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
7702,Lennie Louw,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
7704,Melt van Schoor,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
7704,Melt van Schoor,ODI,5,5,58,111,24,14.5,52.26,1,3,1,0,0,0
7704,Melt van Schoor,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
7704,Melt van Schoor,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
7705,Rudi van Vuuren,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
7705,Rudi van Vuuren,ODI,5,5,26,38,14,8.67,68.43,2,2,1,0,0,0
7705,Rudi van Vuuren,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
7705,Rudi van Vuuren,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
7693,Riaan Walters,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
7693,Riaan Walters,ODI,2,2,0,5,0,0,0.00,0,0,0,0,0,0
7693,Riaan Walters,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
7693,Riaan Walters,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
9906,Hiri Hiri,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
9906,Hiri Hiri,ODI,34,34,454,815,77,15.13,55.71,4,31,5,1,0,0
9906,Hiri Hiri,T20,25,20,336,299,53,21,112.38,4,25,13,1,0,0
9906,Hiri Hiri,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10113,Kila Pala,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10113,Kila Pala,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10113,Kila Pala,T20,2,2,41,30,22,41,136.67,1,4,2,0,0,0
10113,Kila Pala,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
8467,Lega Siaka,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
8467,Lega Siaka,ODI,48,48,958,1251,109,19.96,76.58,0,90,15,2,1,0
8467,Lega Siaka,T20,56,50,704,622,55,15.64,113.19,5,54,22,1,0,0
8467,Lega Siaka,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10137,Ebrahim Aldhabyan,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10137,Ebrahim Aldhabyan,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10137,Ebrahim Aldhabyan,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10137,Ebrahim Aldhabyan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10138,Ali Bushahri,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10138,Ali Bushahri,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10138,Ali Bushahri,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10138,Ali Bushahri,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10139,Ali Zainal,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10139,Ali Zainal,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10139,Ali Zainal,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10139,Ali Zainal,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10141,Alkandari Mohammad,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10141,Alkandari Mohammad,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10141,Alkandari Mohammad,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10141,Alkandari Mohammad,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10142,Alnadi Faleh,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10142,Alnadi Faleh,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10142,Alnadi Faleh,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10142,Alnadi Faleh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10145,Bastaki Abdullah,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10145,Bastaki Abdullah,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10145,Bastaki Abdullah,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10145,Bastaki Abdullah,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10148,Beidas Tareq,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10148,Beidas Tareq,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10148,Beidas Tareq,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10148,Beidas Tareq,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10149,Eissa Jassim,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10149,Eissa Jassim,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10149,Eissa Jassim,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10149,Eissa Jassim,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10150,Salem Mishary,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10150,Salem Mishary,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10150,Salem Mishary,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10150,Salem Mishary,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10151,Yousif Alzaid,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10151,Yousif Alzaid,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10151,Yousif Alzaid,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10151,Yousif Alzaid,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10453,Jatinder Singh,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10453,Jatinder Singh,ODI,61,60,1704,2322,118,29.38,73.39,2,180,25,9,4,0
10453,Jatinder Singh,T20,64,64,1399,1180,73,24.54,118.56,7,147,29,8,0,0
10453,Jatinder Singh,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10454,Arun Poulose,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10454,Arun Poulose,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10454,Arun Poulose,T20,3,3,9,14,9,3,64.29,0,2,0,0,0,0
10454,Arun Poulose,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10464,Mehran Khan,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10464,Mehran Khan,ODI,4,4,66,66,37,16.5,100.00,0,3,6,0,0,0
10464,Mehran Khan,T20,47,39,345,323,29,10.45,106.82,6,22,14,0,0,0
10464,Mehran Khan,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10821,Swapnil Khadye,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10821,Swapnil Khadye,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10821,Swapnil Khadye,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10821,Swapnil Khadye,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10455,Vaibhav Wategaonkar,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10455,Vaibhav Wategaonkar,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10455,Vaibhav Wategaonkar,T20,2,1,14,14,14,14,100.00,0,1,0,0,0,0
10455,Vaibhav Wategaonkar,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10456,Zeeshan Siddiqui,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10456,Zeeshan Siddiqui,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
10456,Zeeshan Siddiqui,T20,5,5,60,63,33,15,95.24,1,7,0,0,0,0
10456,Zeeshan Siddiqui,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
