player_id,player_name,format,matches,innings,not_out,runs,high_score,avg,strike_rate,hundreds,fifties,fours,sixes,ducks
14701,Nitish Kumar Reddy,Test,7,13,0,343,0,0.0,0.0,1,0,0,0,1
14701,Nitish Kumar Reddy,ODI,0,0,0,0,0,0.0,0.0,0,0,0,0,0
14701,Nitish Kumar Reddy,T20,4,3,0,90,0,0.0,0.0,0,1,0,0,1
14701,Nitish Kumar Reddy,IPL,28,22,0,485,0,0.0,0.0,0,2,0,0,1
9647,Hardik Pandya,Test,11,18,0,532,0,0.0,0.0,1,4,0,0,2
9647,Hardik Pandya,ODI,94,68,0,1904,0,0.0,0.0,0,11,0,0,4
9647,Hardik Pandya,T20,115,90,0,1812,0,0.0,0.0,0,5,0,0,3
9647,Hardik Pandya,IPL,152,140,0,2749,0,0.0,0.0,0,10,0,0,6
11195,Shivam Dube,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
11195,Shivam Dube,ODI,4,4,0,43,0,0.0,0.0,0,0,0,0,1
11195,Shivam Dube,T20,36,26,0,531,0,0.0,0.0,0,4,0,0,1
11195,Shivam Dube,IPL,79,75,0,1859,0,0.0,0.0,0,10,0,0,3
12086,Abhishek Sharma,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
12086,Abhishek Sharma,ODI,0,0,0,0,0,0.0,0.0,0,0,0,0,0
12086,Abhishek Sharma,T20,18,17,0,565,0,0.0,0.0,2,2,0,0,1
12086,Abhishek Sharma,IPL,77,74,0,1815,0,0.0,0.0,1,9,0,0,3
587,Ravindra Jadeja,Test,85,128,0,3886,0,0.0,0.0,5,27,0,0,8
587,Ravindra Jadeja,ODI,204,137,0,2806,0,0.0,0.0,0,13,0,0,6
587,Ravindra Jadeja,T20,74,41,0,515,0,0.0,0.0,0,0,0,0,3
587,Ravindra Jadeja,IPL,254,198,0,3260,0,0.0,0.0,0,5,0,0,9
8683,Shardul Thakur,Test,13,21,0,377,0,0.0,0.0,0,4,0,0,3
8683,Shardul Thakur,ODI,47,25,0,329,0,0.0,0.0,0,1,0,0,1
8683,Shardul Thakur,T20,25,6,0,69,0,0.0,0.0,0,0,0,0,2
8683,Shardul Thakur,IPL,105,42,0,325,0,0.0,0.0,0,1,0,0,8
10945,Washington Sundar,Test,13,24,0,752,0,0.0,0.0,1,5,0,0,3
10945,Washington Sundar,ODI,23,15,0,329,0,0.0,0.0,0,1,0,0,0
10945,Washington Sundar,T20,54,22,0,193,0,0.0,0.0,0,1,0,0,4
10945,Washington Sundar,IPL,66,45,0,511,0,0.0,0.0,0,0,0,0,2
8808,Axar Patel,Test,14,22,0,646,0,0.0,0.0,0,4,0,0,1
8808,Axar Patel,ODI,68,47,0,783,0,0.0,0.0,0,3,0,0,3
8808,Axar Patel,T20,72,44,0,535,0,0.0,0.0,0,1,0,0,2
8808,Axar Patel,IPL,162,124,0,1916,0,0.0,0.0,0,3,0,0,7
9812,Saud Shakeel,Test,19,36,0,1658,0,0.0,0.0,4,9,0,0,2
9812,Saud Shakeel,ODI,19,16,0,408,0,0.0,0.0,0,4,0,0,0
9812,Saud Shakeel,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0
9812,Saud Shakeel,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
9807,Kamran Ghulam,Test,6,11,0,312,0,0.0,0.0,1,1,0,0,0
9807,Kamran Ghulam,ODI,10,7,0,210,0,0.0,0.0,1,1,0,0,1
9807,Kamran Ghulam,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0
9807,Kamran Ghulam,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
10101,Salman Agha,Test,21,40,0,1317,0,0.0,0.0,3,9,0,0,2
10101,Salman Agha,ODI,41,34,0,1116,0,0.0,0.0,1,6,0,0,0
10101,Salman Agha,T20,26,24,0,489,0,0.0,0.0,0,4,0,0,2
10101,Salman Agha,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
15460,Irfan Khan,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
15460,Irfan Khan,ODI,9,6,0,48,0,0.0,0.0,0,0,0,0,1
15460,Irfan Khan,T20,14,11,0,189,0,0.0,0.0,0,0,0,0,1
15460,Irfan Khan,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
9804,Hussain Talat,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
9804,Hussain Talat,ODI,4,4,0,75,0,0.0,0.0,0,0,0,0,0
9804,Hussain Talat,T20,19,18,0,395,0,0.0,0.0,0,2,0,0,1
9804,Hussain Talat,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
14545,Noman Ali,Test,19,26,0,368,0,0.0,0.0,0,1,0,0,6
14545,Noman Ali,ODI,0,0,0,0,0,0.0,0.0,0,0,0,0,0
14545,Noman Ali,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0
14545,Noman Ali,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
11265,Faheem Ashraf,Test,17,27,0,687,0,0.0,0.0,0,4,0,0,4
11265,Faheem Ashraf,ODI,38,27,0,322,0,0.0,0.0,0,1,0,0,2
11265,Faheem Ashraf,T20,63,46,0,476,0,0.0,0.0,0,1,0,0,5
11265,Faheem Ashraf,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
11186,Shadab Khan,Test,6,11,0,300,0,0.0,0.0,0,3,0,0,0
11186,Shadab Khan,ODI,70,44,0,855,0,0.0,0.0,0,4,0,0,3
11186,Shadab Khan,T20,112,58,0,792,0,0.0,0.0,0,1,0,0,6
11186,Shadab Khan,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
55256,Jahandad Khan,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
55256,Jahandad Khan,ODI,0,0,0,0,0,0.0,0.0,0,0,0,0,0
55256,Jahandad Khan,T20,8,5,0,29,0,0.0,0.0,0,0,0,0,1
55256,Jahandad Khan,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
12225,Cameron Green,Test,32,51,0,1565,0,0.0,0.0,2,7,0,0,4
12225,Cameron Green,ODI,31,27,0,782,0,0.0,0.0,1,2,0,0,1
12225,Cameron Green,T20,21,20,0,521,0,0.0,0.0,0,6,0,0,0
12225,Cameron Green,IPL,29,28,0,707,0,0.0,0.0,1,2,0,0,0
52495,Sam Konstas,Test,5,10,0,163,0,0.0,0.0,0,1,0,0,2
52495,Sam Konstas,ODI,0,0,0,0,0,0.0,0.0,0,0,0,0,0
52495,Sam Konstas,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0
52495,Sam Konstas,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
8646,Beau Webster,Test,7,12,0,381,0,0.0,0.0,0,4,0,0,0
8646,Beau Webster,ODI,0,0,0,0,0,0.0,0.0,0,0,0,0,0
8646,Beau Webster,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0
8646,Beau Webster,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
13170,Aaron Hardie,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
13170,Aaron Hardie,ODI,15,12,0,180,0,0.0,0.0,0,0,0,0,1
