player_id,player_name,format,matches,innings,runs,balls_faced,highest_score,average,strike_rate,not_out,fours,sixes,fifty_plus,hundreds,double_hundreds,high_score,avg,fifties,ducks
11196,Tony de Zorzi,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
9491,Reeza Hendricks,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
9491,Reeza Hendricks,ODI,38,38,974,1264.0,102.0,27.06,77.06,2,101,9,7.0,1,0.0,,,,
9491,Reeza Hendricks,T20,83,82,2382,1826.0,117.0,29.78,130.45,2,259,68,17.0,1,0.0,,,,
9491,Reeza Hendricks,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
20538,Dewald Brevis,Test,2,3,84,85.0,51.0,28.0,98.83,0,7,4,1.0,0,0.0,,,,
20538,Dewald Brevis,ODI,6,6,110,69.0,49.0,22.0,159.43,1,5,11,0.0,0,0.0,,,,
20538,Dewald Brevis,T20,11,11,341,176.0,125.0,37.89,193.75,2,19,29,1.0,1,0.0,,,,
20538,Dewald Brevis,IPL,16,16,455,297.0,57.0,28.44,153.2,0,30,33,2.0,0,0.0,,,,
10973,Zubayr Hamza,Test,8,16,307,738.0,62.0,19.19,41.6,0,42,2,1.0,0,0.0,,,,
10973,Zubayr Hamza,ODI,1,1,56,79.0,56.0,56.0,70.89,0,5,1,1.0,0,0.0,,,,
10973,Zubayr Hamza,T20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
10973,Zubayr Hamza,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
6334,Craig Ervine,Test,30,60,1926,3922.0,160.0,33.79,49.11,3,212,14,7.0,4,0.0,,,,
6334,Craig Ervine,ODI,128,124,3600,4695.0,130.0,33.03,76.68,15,350,47,23.0,4,0.0,,,,
6334,Craig Ervine,T20,71,70,1449,1370.0,70.0,21.95,105.77,4,143,30,9.0,0,0.0,,,,
6334,Craig Ervine,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
13957,Ben Curran,Test,7,14,374,699.0,68.0,26.71,53.51,0,46,1,1.0,0,0.0,,,,
13957,Ben Curran,ODI,8,8,340,454.0,118.0,48.57,74.89,1,37,0,2.0,1,0.0,,,,
13957,Ben Curran,T20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
13957,Ben Curran,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
18425,Nick Welch,Test,7,14,319,717.0,90.0,24.54,44.5,1,32,5,3.0,0,0.0,,,,
