player_id,player_name,format,matches,innings,balls,runs,maidens,wickets,avg,eco,sr,bbi,bbm,4w,5w,10w
10808,Mohammed Siraj,Test,41,76,6419,3820,190,123,31.06,3.57,52.19,6/15,9/190,7,5,0
10808,Mohammed Siraj,ODI,44,43,1975,1708,32,71,24.06,5.19,27.82,6/21,6/21,2,1,0
10808,Mohammed Siraj,T20,16,16,348,452,2,14,32.29,7.79,24.86,4/17,4/17,1,0,0
10808,Mohammed Siraj,IPL,108,108,2300,3349,4,109,30.72,8.74,21.1,4/17,4/17,3,0,0
9311,Jasprit Bumrah,Test,48,91,9348,4341,365,219,19.82,2.79,42.68,6/27,9/86,7,15,0
9311,Jasprit Bumrah,ODI,89,88,4580,3509,57,149,23.55,4.6,30.74,6/19,6/19,6,2,0
9311,Jasprit Bumrah,T20,71,70,1527,1598,12,90,17.76,6.28,16.97,3/7,3/7,0,0,0
9311,Jasprit Bumrah,IPL,145,145,3337,4032,7,183,22.03,7.25,18.23,5/10,5/10,3,2,0
10551,Prasidh Krishna,Test,6,11,960,756,14,22,34.36,4.72,43.64,4/62,8/188,2,0,0
10551,Prasidh Krishna,ODI,17,17,794,742,7,29,25.59,5.61,27.38,4/12,4/12,2,0,0
10551,Prasidh Krishna,T20,5,5,120,220,0,8,27.5,11.0,15.0,3/41,3/41,0,0,0
10551,Prasidh Krishna,IPL,66,66,1499,2191,3,74,29.61,8.77,20.26,4/30,4/30,2,0,0
14726,Akash Deep,Test,10,18,1536,1002,40,28,35.79,3.91,54.86,6/99,10/187,1,1,1
14726,Akash Deep,ODI,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
14726,Akash Deep,T20,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
14726,Akash Deep,IPL,14,14,278,548,1,10,54.8,11.83,27.8,3/45,3/45,0,0,0
8292,Kuldeep Yadav,Test,13,24,2093,1241,46,56,22.16,3.56,37.38,5/40,8/113,3,4,0
8292,Kuldeep Yadav,ODI,113,110,5754,4786,30,181,26.44,4.99,31.79,6/25,6/25,7,2,0
8292,Kuldeep Yadav,T20,41,40,873,978,2,73,13.4,6.72,11.96,5/17,5/17,2,2,0
8292,Kuldeep Yadav,IPL,98,95,2052,2749,1,102,26.95,8.04,20.12,4/14,4/14,4,0,0
13217,Arshdeep Singh,Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
13217,Arshdeep Singh,ODI,9,8,373,322,2,14,23.0,5.18,26.64,5/37,5/37,1,1,0
13217,Arshdeep Singh,T20,63,63,1310,1812,2,99,18.3,8.3,13.23,4/9,4/9,2,0,0
13217,Arshdeep Singh,IPL,82,82,1714,2570,2,97,26.49,9.0,17.67,5/32,5/32,2,1,0
24729,Harshit Rana,Test,2,3,270,203,6,4,50.75,4.51,67.5,3/48,4/117,0,0,0
24729,Harshit Rana,ODI,5,5,218,207,2,10,20.7,5.7,21.8,3/31,3/31,0,0,0
24729,Harshit Rana,T20,1,1,24,33,0,3,11.0,8.25,8.0,3/33,3/33,0,0,0
24729,Harshit Rana,IPL,33,32,649,1029,1,40,25.73,9.51,16.23,3/24,3/24,0,0,0
14659,Ravi Bishnoi,Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
14659,Ravi Bishnoi,ODI,1,1,48,69,0,1,69.0,8.63,48.0,1/69,1/69,0,0,0
14659,Ravi Bishnoi,T20,42,42,964,1182,3,61,19.38,7.36,15.8,4/13,4/13,2,0,0
14659,Ravi Bishnoi,IPL,77,76,1633,2237,1,72,31.07,8.22,22.68,3/24,3/24,0,0,0
10754,Mukesh Kumar,Test,3,6,284,179,16,7,25.57,3.78,40.57,2/0,4/56,0,0,0
10754,Mukesh Kumar,ODI,6,6,234,217,4,5,43.4,5.56,46.8,3/30,3/30,0,0,0
10754,Mukesh Kumar,T20,17,17,324,487,0,20,24.35,9.02,16.2,4/22,4/22,1,0,0
10754,Mukesh Kumar,IPL,32,32,636,1102,1,36,30.61,10.4,17.67,4/33,4/33,1,0,0
12926,Varun Chakaravarthy,Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
12926,Varun Chakaravarthy,ODI,4,4,240,190,0,10,19.0,4.75,24.0,5/42,5/42,0,1,0
12926,Varun Chakaravarthy,T20,19,19,423,485,0,34,14.26,6.88,12.44,5/17,5/17,0,2,0
12926,Varun Chakaravarthy,IPL,83,83,1888,2385,1,100,23.85,7.58,18.88,5/20,5/20,1,1,0
12555,Abrar Ahmed,Test,10,19,2631,1580,59,46,34.35,3.6,57.2,7/114,11/234,5,2,1
12555,Abrar Ahmed,ODI,11,11,612,461,6,18,25.61,4.52,34.0,4/33,4/33,1,0,0
12555,Abrar Ahmed,T20,17,15,322,387,0,23,16.83,7.21,14.0,4/9,4/9,1,0,0
12555,Abrar Ahmed,IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
19066,Sajid Khan,Test,12,23,2823,1610,71,59,27.29,3.42,47.85,8/42,12/128,4,4,2
19066,Sajid Khan,ODI,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
19066,Sajid Khan,T20,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
19066,Sajid Khan,IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
35250,Mohammad Ali,Test,4,7,624,406,11,6,67.67,3.9,104.0,2/64,4/188,0,0,0
